Order ID,Site ID,Site,Status,Supplier,Created,Confirmed,Delivery,Delivered,Del. Note Ref.,Order (£),Confirmation (£),Delivery (£),Delivered (£),Order Sent,Delivery Note Received On,Invoice Gross (£),Invoice No.,Invoice Paid on,Document Type,Customer PO,Signed Amount (£)
BRAKES-5509218710,9999,The Vedanta,Credit,Brakes,6/24/26 0:00,,6/24/26 0:00,,,,,,,6/24/26 0:00,,10.6,5509218710,,Credits - Head Office,,-10.6
BRAKES-9335421926,9999,The Vedanta,Invoice,Brakes,6/23/26 0:00,,6/23/26 0:00,6/23/26 0:00,EC28737565,355.22,,,355.22,6/23/26 0:00,,355.22,9335421926,,Invoice - Head Office,EC28737565,355.22
BRAKES-9335421925,9999,The Vedanta,Invoice,Brakes,6/23/26 0:00,,6/23/26 0:00,6/23/26 0:00,EC28788394,106.83,,,106.83,6/23/26 0:00,,106.83,9335421925,,Invoice - Head Office,EC28788394,106.83
BRAKES-5509213946,9999,The Vedanta,Credit,Brakes,6/22/26 0:00,,6/22/26 0:00,,,,,,,6/22/26 0:00,,4.62,5509213946,,Credits - Head Office,,-4.62
BRAKES-9335420793,9999,The Vedanta,Invoice,Brakes,6/20/26 0:00,,6/20/26 0:00,6/20/26 0:00,EC28629190,910.94,,,910.94,6/20/26 0:00,,910.94,9335420793,,Invoice - Head Office,EC28629190,910.94
BRAKES-5509204524,9999,The Vedanta,Credit,Brakes,6/17/26 0:00,,6/17/26 0:00,,,,,,,6/17/26 0:00,,29.88,5509204524,,Credits - Head Office,,-29.88
BRAKES-9335416453,9999,The Vedanta,Invoice,Brakes,6/16/26 0:00,,6/16/26 0:00,6/16/26 0:00,EC28585892,414.87,,,414.87,6/16/26 0:00,,414.87,9335416453,,Invoice - Head Office,EC28585892,414.87
BRAKES-5509199417,9999,The Vedanta,Credit,Brakes,6/13/26 0:00,,6/13/26 0:00,,,,,,,6/13/26 0:00,,61.15,5509199417,,Credits - Head Office,,-61.15
BRAKES-9335415301,9999,The Vedanta,Invoice,Brakes,6/13/26 0:00,,6/13/26 0:00,6/13/26 0:00,EC28548694,490.58,,,490.58,6/13/26 0:00,,490.58,9335415301,,Invoice - Head Office,EC28548694,490.58
BRAKES-9335414440,9999,The Vedanta,Invoice,Brakes,6/12/26 0:00,,6/12/26 0:00,6/12/26 0:00,EC28467565,546.61,,,546.61,6/12/26 0:00,,546.61,9335414440,,Invoice - Head Office,EC28467565,546.61
BRAKES-5509192184,9999,The Vedanta,Credit,Brakes,6/10/26 0:00,,6/10/26 0:00,,,,,,,6/10/26 0:00,,22.31,5509192184,,Credits - Head Office,,-22.31
BRAKES-9335411861,9999,The Vedanta,Invoice,Brakes,6/9/26 0:00,,6/9/26 0:00,6/9/26 0:00,EC28425515,857.23,,,857.23,6/9/26 0:00,,857.23,9335411861,,Invoice - Head Office,EC28425515,857.23
BRAKES-5509187612,9999,The Vedanta,Credit,Brakes,6/8/26 0:00,,6/8/26 0:00,,,,,,,6/8/26 0:00,,6.76,5509187612,,Credits - Head Office,,-6.76
BRAKES-9335410688,9999,The Vedanta,Invoice,Brakes,6/6/26 0:00,,6/6/26 0:00,6/6/26 0:00,EC28382272,548.48,,,548.48,6/6/26 0:00,,548.48,9335410688,,Invoice - Head Office,EC28382272,548.48
BRAKES-9335410689,9999,The Vedanta,Invoice,Brakes,6/6/26 0:00,,6/6/26 0:00,6/6/26 0:00,EC28425502,17.26,,,17.26,6/6/26 0:00,,17.26,9335410689,,Invoice - Head Office,EC28425502,17.26
BRAKES-9335408810,9999,The Vedanta,Invoice,Brakes,6/4/26 0:00,,6/4/26 0:00,6/4/26 0:00,EC28332128,1927.98,,,1927.98,6/4/26 0:00,,1927.98,9335408810,,Invoice - Head Office,EC28332128,1927.98
BRAKES-5509179085,9999,The Vedanta,Credit,Brakes,6/3/26 0:00,,6/3/26 0:00,,,,,,,6/3/26 0:00,,60.4,5509179085,,Credits - Head Office,,-60.4
BRAKES-9335406855,9999,The Vedanta,Invoice,Brakes,6/2/26 0:00,,6/2/26 0:00,6/2/26 0:00,EC28284919,597.33,,,597.33,6/2/26 0:00,,597.33,9335406855,,Invoice - Head Office,EC28284919,597.33
BRAKES-9335405724,9999,The Vedanta,Invoice,Brakes,5/30/26 0:00,,5/30/26 0:00,5/30/26 0:00,EC28242718,652.55,,,652.55,5/30/26 0:00,,652.55,9335405724,,Invoice - Head Office,EC28242718,652.55
BRAKES-5509171622,9999,The Vedanta,Credit,Brakes,5/29/26 0:00,,5/29/26 0:00,,,,,,,5/29/26 0:00,,12.45,5509171622,,Credits - Head Office,,-12.45
BRAKES-9335404459,9999,The Vedanta,Invoice,Brakes,5/28/26 0:00,,5/28/26 0:00,5/28/26 0:00,EC28170005,451.97,,,451.97,5/28/26 0:00,,451.97,9335404459,,Invoice - Head Office,EC28170005,451.97
BRAKES-9335402925,9999,The Vedanta,Invoice,Brakes,5/25/26 0:00,,5/25/26 0:00,5/25/26 0:00,OFF DAY PRE-APPRO,192.77,,,192.77,5/25/26 0:00,,192.77,9335402925,,Invoice - Head Office,OFF DAY PRE-APPRO,192.77
BRAKES-5509163610,9999,The Vedanta,Credit,Brakes,5/24/26 0:00,,5/24/26 0:00,,,,,,,5/24/26 0:00,,43.91,5509163610,,Credits - Head Office,,-43.91
BRAKES-9335402182,9999,The Vedanta,Invoice,Brakes,5/23/26 0:00,,5/23/26 0:00,5/23/26 0:00,EC28158962,47.34,,,47.34,5/23/26 0:00,,47.34,9335402182,,Invoice - Head Office,EC28158962,47.34
BRAKES-9335402183,9999,The Vedanta,Invoice,Brakes,5/23/26 0:00,,5/23/26 0:00,5/23/26 0:00,EC28076920,1070.01,,,1070.01,5/23/26 0:00,,1070.01,9335402183,,Invoice - Head Office,EC28076920,1070.01
BRAKES-9335400365,9999,The Vedanta,Invoice,Brakes,5/21/26 0:00,,5/21/26 0:00,5/21/26 0:00,EC27923838,743.27,,,743.27,5/21/26 0:00,,743.27,9335400365,,Invoice - Head Office,EC27923838,743.27
BRAKES-9335400364,9999,The Vedanta,Invoice,Brakes,5/21/26 0:00,,5/21/26 0:00,5/21/26 0:00,EC28076796,15.72,,,15.72,5/21/26 0:00,,15.72,9335400364,,Invoice - Head Office,EC28076796,15.72
BRAKES-5509152438,9999,The Vedanta,Credit,Brakes,5/17/26 0:00,,5/17/26 0:00,,,,,,,5/17/26 0:00,,29.28,5509152438,,Credits - Head Office,,-29.28
BRAKES-9335397148,9999,The Vedanta,Invoice,Brakes,5/16/26 0:00,,5/16/26 0:00,5/16/26 0:00,EC27805698,957.86,,,957.86,5/16/26 0:00,,957.86,9335397148,,Invoice - Head Office,EC27805698,957.86
BRAKES-9335393294,9999,The Vedanta,Invoice,Brakes,5/12/26 0:00,,5/12/26 0:00,5/12/26 0:00,EC27735992,553.55,,,553.55,5/12/26 0:00,,553.55,9335393294,,Invoice - Head Office,EC27735992,553.55
BRAKES-5509140318,9999,The Vedanta,Credit,Brakes,5/10/26 0:00,,5/10/26 0:00,,,,,,,5/10/26 0:00,,28.02,5509140318,,Credits - Head Office,,-28.02
