Metric,Value
Invoice line items analysed,5297
Unique products ordered,1039
Products ordered only once (no comparison possible),426
Products with stable price (never changed),554
Products with at least 1 price change,485
Total price-change events (how many times prices moved),1026
Products ending HIGHER than first price,360
Products ending LOWER than first price,119
Products that changed but ended at same as first,6

Brakes Code,Product,Times changed,First £,Last £,Change %,Direction,Spend £
146135,Walkers Assortd Biscuit Mini Pck 100x25g,4,19.14,21.52,12.43,UP,1790.38
134491,Greek Feta Cheese                 1x900g,4,10.36,11.49,10.91,UP,923.76
36037,Brakes Capers in Brine          1x2kg,4,13.89,15.4,10.87,UP,100.02
134323,Sysco Classic Vegan Mayonnaise  1x5L,4,12.95,14.18,9.5,UP,461.59
4300,Sysco Classic Naan Bread         24x100g,4,8.7,8.06,-7.36,DOWN,993.71
5946,Sysco Classic Cornflour         1x3.5kg,4,7.6,8.1,6.58,UP,251.9
100535,Brakes Pure Maple Syrup           1x620g,4,11.51,12.16,5.65,UP,1878.96
5222,"Sysco Ess 4 Unseeded Baps(28372)   1x48""",4,7.19,7.55,5.01,UP,212.76
148838,Valdigrano Lasagne               12x500g,4,14.1,14.75,4.61,UP,228.34
135584,Northwood Blue CFeed 2ply CL2B806EDS 1x6,4,8.78,9.11,3.76,UP,343.94
117887,Ethanol Chafing Gel 2.5hr           1x12,4,10.72,10.43,-2.71,DOWN,1105.22
71250,Goats Cheese Log                   1x1kg,4,13.46,13.82,2.67,UP,540.02
33348,Sysco Essential Thick Cut Chip  4x2.27kg,4,11.73,11.44,-2.47,DOWN,337.43
30925,Brake Rosti Potato Fritters          1kg,4,5.68,5.82,2.46,UP,1107.73
150758,Glebe Farm Barista Coconut 6x1ltr,4,11.01,11.22,1.91,UP,73.45
89987,Jacobs Biscuits For Cheese        1x800g,4,10.0,10.07,0.7,UP,171.51
84693,Priory F Still Water PET F/Cap  24x500ml,3,4.72,7.84,66.1,UP,108.32
135232,Bridor Vegan RTB Orange HNut Crown  1x48,3,26.49,40.89,54.36,UP,410.11
5552,Brakes Solid Pack Apples    1x2.6kg(KC3),3,4.17,6.4,53.48,UP,181.64
6039,Brakes Green Lentils               1x3kg,3,8.26,12.66,53.27,UP,118.39
135231,Bridor Vegan RTB Vanilla HNut Crown 1x48,3,26.7,40.89,53.15,UP,341.52
4762,Sysco Classic Cut Beans            2.5kg,3,5.25,2.97,-43.43,DOWN,112.3
4381,Sysco Classic 10 Flour Tortillas    4x18,3,11.58,16.05,38.6,UP,366.19
150756,Foraged Shredded Mushroom Meat BB 1x500g,3,2.4,3.18,32.5,UP,51.22
115072,Amoy Coconut Milk (85833)       12x400ml,3,25.48,17.28,-32.18,DOWN,964.32
127121,Coconut Milk CASE               12x400ml,3,11.56,15.03,30.02,UP,553.99
88315,Brks 3Ply 40cm White Napkin  2x250Cs,3,26.34,19.36,-26.5,DOWN,677.53
84811,Duni White Napkin 33cm 2 ply      1x2000,3,31.31,38.14,21.81,UP,498.33
11127,Unsalted Butter                  40x250g,3,75.79,59.99,-20.85,DOWN,715.59
126682,Duerrs Peanut Butter Crunchy     1x2.5kg,3,16.41,13.02,-20.66,DOWN,162.79
268,Brakes Seedless Raisins            1x3kg,3,14.39,17.2,19.53,UP,146.51
1202,Brakes Peach Slice Syrup   1x2.6kg (KC3),3,8.13,9.71,19.43,UP,146.88
126489,Violife Orig Flavour Grated       4x500g,3,18.99,22.53,18.64,UP,103.19
85120,Chef William Cooking Salt          1x3kg,3,4.17,4.89,17.27,UP,165.99
110930,Paneer Cheese                      900g,3,7.32,6.28,-14.21,DOWN,4153.6
70215,Brake Double Cream Fresh  RT    1x2.27L,3,7.89,8.99,13.94,UP,77.91
112159,Kerrymaid Double             1 x 1 litre,3,3.45,2.99,-13.33,DOWN,191.68
33583,Sysco Classic Ground Ginger       1x400g,3,6.69,5.82,-13.0,DOWN,45.87
74582,Brakes Whole Mini Camembert       6x125g,3,12.59,10.99,-12.71,DOWN,92.0
27544,Sysco Classc Grt Mild White Cheddr 1x1kg,3,7.89,6.89,-12.67,DOWN,457.2
4760,Brake Whole Green Beans (350053) 1x2.5kg,3,9.78,8.57,-12.37,DOWN,222.46
100262,Extra Virgin Olive Oil    1x2ltr,3,20.3,17.92,-11.72,DOWN,111.63
150802,Wildfarmed Slcd Sour Wht Bloomer  8x800g,3,36.35,40.53,11.5,UP,145.94
24192,Shortbread Rounds              1x200x11g,3,21.09,23.39,10.91,UP,204.98
148819,Violife Mat Cheddar Flav Grated 1x500g,3,4.1,4.53,10.49,UP,118.11
125279,Walkers Shortbread Gluten Free    60x30g,3,22.74,25.12,10.47,UP,345.84
74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,3,11.08,9.96,-10.11,DOWN,587.44
71035,Halloumi Cheese                   4x250g,3,10.99,9.9,-9.92,DOWN,315.5
128154,Alpro Soya Wholebean Unsweetened 8x1Ltr,3,14.54,13.17,-9.42,DOWN,252.15
350102,Tate & Lyle Light Brown Soft Sugar 1x3kg,3,10.22,11.15,9.1,UP,106.85
350103,Dark Brown Soft Sugar (106063)     1x3kg,3,11.87,10.86,-8.51,DOWN,65.97
136749,Sysco Lime Juice                1x1ltr,3,2.01,2.18,8.46,UP,130.7
136769,Beechdean Clotted Cream Ice Cream 1x5ltr,3,15.18,13.99,-7.84,DOWN,265.71
115400,Kelloggs Coco Pops Bag Pak        4x500g,3,13.53,14.54,7.46,UP,255.05
148578,Alpro Barista Oat          12x1ltr,3,21.3,22.89,7.46,UP,224.99
136748,Sysco Lemon Juice                 1x1ltr,3,2.01,2.16,7.46,UP,219.78
4301,Brakes Puff Pastry Squares 13cm     1x96,3,20.58,22.1,7.39,UP,321.34
301,Brakes Caster Sugar               1x25kg,3,36.38,39.02,7.26,UP,234.36
74699,Brake Essentials Grated White Cheese 1kg,3,6.37,6.83,7.22,UP,418.69
526841,Set Soured Cream                   1x1kg,3,4.31,4.62,7.19,UP,322.07
135454,Minor Figures Barista Oat     6x1ltr,3,10.07,10.79,7.15,UP,103.77
134490,Butlers of Lanc Cheese Selection    650g,3,11.58,12.38,6.91,UP,380.92
151770,Sysco Classic Green Beans X Fine 1x2.5kg,3,4.82,4.53,-6.02,DOWN,107.22
135327,Tofoo Co Organic Naked Tofu        1x1kg,3,5.68,5.34,-5.99,DOWN,5991.86
148660,Ubley Low Fat Natural Yogurt      1x5kg,3,12.02,12.74,5.99,UP,1211.15
129918,Tyrrells Lightly Sea Salt Crisps    1x24,3,13.24,14.03,5.97,UP,106.34
130799,Brake Vegan Vanilla Frozen Dessert  1x4L,3,9.06,9.57,5.63,UP,63.72
31526,Ubley Fruit N Crm Yogurt Mixd    12x150g,3,6.18,6.49,5.02,UP,440.26
130608,Brakes Berries Cocont & Seed Toppr 1x1kg,3,8.63,9.06,4.98,UP,320.61
33891,Brakes Self Raising Flour         1x25kg,3,24.98,26.13,4.6,UP,204.78
34031,Brakes Demerara Sugar Stick       1x1000,3,8.92,9.28,4.04,UP,146.38
74048,Sysco Classc Mat White Cheddar Grt 5x1kg,3,37.79,36.29,-3.97,DOWN,351.55
128101,Cauldron Tofu                     6x396g,3,13.24,13.74,3.78,UP,256.86
149906,Elda Ricotta Cheese 1x1.5kg,3,11.22,11.58,3.21,UP,875.19
135419,Sheese Mature Cheddar Slice Vegan    1kg,3,11.8,12.16,3.05,UP,393.88
150850,Lyles Maple Syrup               1x2.80kg,3,7.98,7.77,-2.63,DOWN,278.25
33559,Brakes Plain Flour                1x25kg,3,19.65,20.15,2.54,UP,140.05
118225,Royal Crw BlackTurtle Bean n Wtr 1x2.5kg,3,2.87,2.94,2.44,UP,741.43
111313,Roasted Red Peppers              1x2.5kg,3,6.18,6.04,-2.27,DOWN,1044.08
14780,Migi Baking Parchment  45cmx75m    1x1,3,15.83,16.19,2.27,UP,171.12
23198,Capricorn Goats Chese (Smrset)    6x100g,3,20.08,20.51,2.14,UP,181.45
133965,Sheese Original Spread            6x255g,3,14.25,14.54,2.04,UP,127.31
86027,Brakes Balsamic Vinegar           1x2ltr,3,10.58,10.79,1.98,UP,53.09
4764,Brake Broad Beans                  2.5kg,3,11.44,11.22,-1.92,DOWN,412.17
131165,Whole Black Sesame seed           1x650g,3,8.63,8.78,1.74,UP,44.03
126335,Alpro Almond For Professionals  12x1ltr,3,21.3,20.94,-1.69,DOWN,209.27
124886,Cheddar Cheese Arran Oak Smkd     1x200g,3,4.6,4.67,1.52,UP,64.35
9698,Brakes Sliced Green Jalepeno       1x3kg,3,6.54,6.47,-1.07,DOWN,125.39
10515,Migi 2Ply Blue Centrfeed 300sht 120m 1x6,3,9.79,9.79,0.0,SAME,318.58
136410,Sysco Prem Pressed Apple Juice   1x2.27L,2,3.68,6.11,66.03,UP,58.6
71819,Arla Pro Slcs Mature White Chedar 1x1kg,2,7.55,12.52,65.83,UP,56.68
152188,Extons Mild Cheddar Slices         1x1kg,2,6.47,10.5,62.29,UP,112.37
551,Brakes Yellow Split Peas           1x3kg,2,6.9,3.88,-43.77,DOWN,65.24
2141,Brakes Clear Honey              1x3.17kg,2,23.97,14.61,-39.05,DOWN,125.39
135233,Bridor Vegan RTB Cherry Crown       1x48,2,29.15,40.38,38.52,UP,269.19
4782,Sysco Classic Sweetcorn         2.5kg,2,4.99,6.69,34.07,UP,70.73
324,Plain Chocolate Drops              1x3kg,2,19.72,26.34,33.57,UP,89.38
104466,Vinyl Gloves Blue PF X large GD13XL1x100,2,4.89,6.39,30.67,UP,46.71
134293,Sysco Classic Cracked Black Pepper 425g,2,6.4,8.34,30.31,UP,89.24
132671,Applewood Smoky Vegan Slices      1x200g,2,2.43,3.16,30.04,UP,88.68
150143,Plenish Barista Oat         6x1ltr,2,9.49,12.3,29.61,UP,121.04
150142,Plenish Barista Soya        6x1ltr,2,9.49,12.3,29.61,UP,96.44
150144,Plenish Barista Almond          6x1ltr,2,10.99,13.96,27.02,UP,99.58
71268,Sysco Classic Mat White Ched Grate 1x1kg,2,9.13,6.69,-26.73,DOWN,191.04
134428,Arla Lactofree Whole Milk         1x1ltr,2,1.49,1.86,24.83,UP,15.93
114969,Brakes Swiss Style Muesli (33731)  4x2kg,2,17.92,22.31,24.5,UP,100.75
151083,Flora Plant Btter Salted 24x200g,2,24.99,31.1,24.45,UP,76.08
4748,Brake Broccoli Florets 40/60(350033) 2kg,2,4.8,3.65,-23.96,DOWN,93.96
118561,Alpro Simply Plain                1x500g,2,2.15,1.65,-23.26,DOWN,439.2
120075,Nescafe Original Decaff Stick   800x1.2g,2,41.75,51.33,22.95,UP,195.09
145917,Heinz Vegan Mayonnaise              5Ltr,2,16.12,12.49,-22.52,DOWN,58.59
113654,ALPRO Soya For Professionals      1x1ltr,2,1.41,1.72,21.99,UP,88.78
115794,Brake Organic Natural Yogurt      1x2kg,2,6.62,5.18,-21.75,DOWN,79.04
128345,Evian Still Natural Mineral Water 8x1.5L,2,7.41,8.99,21.32,UP,49.99
4793,Brake Sliced Mixed Peppers         1.5kg,2,4.13,3.31,-19.85,DOWN,120.93
129464,Brakes Vegan Brownie                1x30,2,22.38,26.7,19.3,UP,452.1
33592,Sysco Classic Oregano             1x100g,2,3.16,2.58,-18.35,DOWN,97.42
5627,Brakes Banana Chips                1x1kg,2,7.26,8.56,17.91,UP,23.23
350099,Demerara Sugar (106064)            1x3kg,2,12.88,10.58,-17.86,DOWN,93.54
33386,Blackberries                       1x1kg,2,4.51,5.27,16.85,UP,397.19
87045,Olive Pomace Oil            1x5L,2,21.45,17.92,-16.46,DOWN,357.65
33585,Sysco Classic Paprika Pepper  1x480g,2,4.1,4.67,13.9,UP,74.25
129454,LaBo Vegan Slcd Brioche Style Bun 1x45,2,19.79,22.38,13.09,UP,63.4
146174,Sysco Classic Penne Pasta  1x5kg,2,8.42,9.42,11.88,UP,75.11
6437,Sysco Classic Chop Toms in Juice   2.5kg,2,3.39,2.99,-11.8,DOWN,1280.56
18419,G V Dairy Natural Cottage Cheese 1x2kg,2,13.02,14.54,11.67,UP,333.2
133540,KTC Gram Flour                     1x2kg,2,3.09,3.45,11.65,UP,90.92
4753,Sysco Choice Garden Peas (350058)  2.5kg,2,4.39,3.99,-9.11,DOWN,16.76
19510,CHL Flora Portions(22927)        200x10g,2,23.18,25.26,8.97,UP,390.98
18421,G V Dairy Full Fat Soft Cheese 1x2kg,2,8.61,9.37,8.83,UP,382.67
35014,Sysco Classic Cayenne Pepper    1x450g,2,8.99,9.78,8.79,UP,46.97
5952,Brakes Dried Chick Peas            1x3kg,2,10.94,10.0,-8.59,DOWN,223.75
136475,Sysco ESS GF Vegan Choc Truff Torte 1x14,2,16.05,17.42,8.54,UP,169.8
74075,Applewood Cheese                   1.5kg,2,19.79,21.45,8.39,UP,184.3
33595,Sysco Classic Rubbed Thyme        1x210g,2,4.38,4.74,8.22,UP,36.72
135304,McVities Tasties Digestives      12x300g,2,9.99,10.79,8.01,UP,63.64
135284,Nairns GF Choc Chip Biscuit Break 48x30g,2,14.61,15.76,7.87,UP,935.32
28797,Opie Sliced Gherkins             1x2.3kg,2,7.48,8.06,7.75,UP,69.13
134288,Sysco Classic Rosemary Needles    1x200g,2,3.88,4.17,7.47,UP,12.0
123366,Honeybuns GF Choc Pecan Caram TBake  1x1,2,23.03,24.69,7.21,UP,144.52
89840,Galvan Heavy Duty Scourer 828/40    1x10,2,1.9,2.03,6.84,UP,37.74
134289,Sysco Classic Smoked Paprika  1x450g,2,4.1,4.38,6.83,UP,46.08
132404,Royal Crown Chick Peas in Water  1x2.5kg,2,3.23,3.45,6.81,UP,452.7
121379,Sysco Classic Table Salt (33706)   1x6kg,2,10.07,10.75,6.75,UP,71.34
106616,Pinguin Supersweet Sweetcorn      1x10kg,2,23.68,25.26,6.67,UP,173.1
33581,Sysco Classic Ground Cinnamon   1x450g,2,5.54,5.9,6.5,UP,22.66
111309,Rice Flour                       1x1.5kg,2,3.45,3.23,-6.38,DOWN,86.52
133240,Clear Polypropylne Food Cont 9ltr CE 1x1,2,8.09,8.59,6.18,UP,283.86
106727,Brakes Sliced Jalapeno Peppers     1x1kg,2,2.37,2.51,5.91,UP,27.61
134291,Sysco Classic Whole Cumin Seeds 350g,2,3.81,4.02,5.51,UP,11.71
132615,PlantNation Vegan Grated Cheese    1x1Kg,2,9.21,9.71,5.43,UP,96.25
5001729,Sysco Classic Vegan Mayonnaise   1x10ltr,2,21.66,22.74,4.99,UP,66.86
26896,Walkers Shortbread Fingers       240x20g,2,50.61,53.06,4.84,UP,522.38
133542,Lotus Biscoff Smooth Spread      1x1.6kg,2,9.21,9.64,4.67,UP,66.77
33829,"Brake 12 Thin & Crispy Pizza Base  1x18""",2,17.27,18.06,4.57,UP,88.65
21957,Wrapmaster Cling Film Refill 3x45cmx300m,2,43.12,44.99,4.34,UP,132.53
86874,Vanilla Essence                  1x500ml,2,5.32,5.54,4.14,UP,153.88
85549,Large Clear Vinyl Gloves Pwd GD47L 1x100,2,5.19,4.99,-3.85,DOWN,46.81
57033,"LaBo 4.5 Seeded Burger Bun         1x48""",2,9.42,9.06,-3.82,DOWN,45.45
133687,Macphie Plant Based Crm Alternative 1x1L,2,3.74,3.88,3.74,UP,877.1
4794,Brake Diced Mixed Peppers (Rd/Grn) 1.5kg,2,8.13,7.84,-3.57,DOWN,71.51
89657,Brakes The Juice Apple          27x200ml,2,17.68,17.07,-3.45,DOWN,178.96
308,Brakes Granulated Sugar           1x25kg,2,32.25,31.19,-3.29,DOWN,257.94
86805,Brakes Mint Sauce              1x2.27ltr,2,9.35,9.64,3.1,UP,28.56
