Year,Invoices,Credits,Net,Invoice count,Credit count,Documents
2024,31838.030000000013,382.11000000000007,31455.920000000013,86,10,96
2025,72210.84999999996,2107.71,70103.13999999996,144,47,191
2026,32101.819999999985,1213.5200000000002,30888.299999999985,61,34,95
