Document Date,Document Number,Type,Is Credit,Brakes Code,Product / Ingredient,Qty Case,Unit Price,Net Value,Category,Subcategory,PO,Source
2025-02-08,9335118694,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-02-11,9335119526,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.5,9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-03-01,9335129217,INVOICE,No,118561,Alpro Simply Plain                1x500g,2,1.5,3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-03-03,9335129714,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-03-13,9335135935,INVOICE,No,118561,Alpro Simply Plain                1x500g,4,1.5,6,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-03-13,9335135935,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-04-10,9335152827,INVOICE,No,118561,Alpro Simply Plain                1x500g,5,1.65,8.25,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-04-12,9335153976,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-04-24,9335159052,INVOICE,No,118561,Alpro Simply Plain                1x500g,3,1.65,4.95,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-04-24,9335159052,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-05-10,9335169617,INVOICE,No,118561,Alpro Simply Plain                1x500g,3,1.65,4.95,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
