Metric,Value
Food invoice lines,5070
Food credit lines,113
All food purchase lines (invoice + credit),5189
Unique food products bought,968
Food products with a real price change,453
Total real price-change events,971
Food products ending HIGHER than first price,333
Food products ending LOWER than first price,114
Food invoice spend £,128986.79
Food credits £,-3492.73
Food net spend £,132479.52

Brakes Code,Product,Category,Times ordered,First £,Last £,Times changed,Change %,Direction,Net spend £,Price history
27544,Sysco Classc Grt Mild White Cheddr 1x1kg,Other food,13,7.89,6.89,3,-12.67,DOWN,457.2,£7.89 (2025-01-28) → £7.79 (2025-04-24) → £7.99 (2025-10-04) → £6.89 (2026-03-12)
149914,Granarolo Grtd Italian Hrd Chse 1x500g,Other food,27,7.99,10.43,4,30.54,UP,456.79,£7.99 (2024-07-30) → £9.86 (2024-10-05) → £10.00 (2025-04-10) → £10.29 (2025-10-07) → £10.43 (2026-06-30)
35379,Brakes Tortilla Chips            14x475g,Other food,14,25.04,32.9,5,31.39,UP,454.92,£25.04 (2024-07-20) → £31.38 (2024-10-12) → £32.03 (2025-05-08) → £21.99 (2025-12-16) → £32.25 (2026-03-19) → £32.90 (2026-06-20)
132404,Royal Crown Chick Peas in Water  1x2.5kg,Other food,17,3.23,3.45,2,6.81,UP,452.7,£3.23 (2024-08-03) → £3.66 (2025-01-23) → £3.45 (2025-04-12)
129464,Brakes Vegan Brownie                1x30,Other food,5,22.38,26.7,2,19.3,UP,452.1,£22.38 (2024-08-08) → £23.54 (2024-10-12) → £26.70 (2025-06-14)
1126,Walkers Shortbread Fingers         120x2,Biscuits,11,37.22,37.43,1,0.56,UP,448.95,£37.22 (2025-04-24) → £37.43 (2025-10-21)
21856,Prep Premium Toasted Sesame Oil   1x1ltr,Other food,18,12.02,8.43,4,-29.87,DOWN,442.59,£12.02 (2024-08-27) → £8.04 (2024-10-03) → £8.14 (2025-06-03) → £8.04 (2026-01-15) → £8.43 (2026-04-16)
10317,Kp Ready Salted                 1x48pckt,Other food,6,24.83,25.98,1,4.63,UP,440.51,£24.83 (2024-11-30) → £25.98 (2025-05-22)
118561,Alpro Simply Plain                1x500g,Alpro yoghurt,53,2.15,1.65,2,-23.26,DOWN,439.2,£2.15 (2024-07-23) → £1.50 (2024-09-28) → £1.65 (2025-04-10)
591017,GV Dairy Cheese Soft FFat OC 18421 1x2kg,Other food,9,17.63,17.7,1,0.4,UP,424.52,£17.63 (2025-08-16) → £17.70 (2025-10-07)
26719,Real Crisps Sea Salt              48x35g,Other food,6,24.9,25.19,1,1.16,UP,423.88,£24.90 (2026-05-09) → £25.19 (2026-07-02)
71731,Brake Mature Ched Cheese Slice    1x500g,Other food,26,4.43,3.59,4,-18.96,DOWN,422.86,£4.43 (2024-07-25) → £3.76 (2024-10-01) → £3.98 (2024-11-09) → £3.92 (2025-05-13) → £3.59 (2026-05-09)
33386,Blackberries                       1x1kg,Other food,14,4.51,5.27,2,16.85,UP,419.74,£4.51 (2024-09-28) → £4.87 (2025-05-10) → £5.27 (2025-10-16)
74699,Brake Essentials Grated White Cheese 1kg,Other food,14,6.37,6.83,3,7.22,UP,418.69,£6.37 (2024-10-12) → £6.75 (2024-11-19) → £6.60 (2025-05-08) → £6.83 (2025-11-04)
135285,Nairns GF Mixed Oat Biscuit Break 48x30g,Biscuits,20,14.61,14.61,2,0.0,SAME,414.36,£14.61 (2024-07-25) → £11.50 (2024-08-27) → £14.61 (2024-10-01)
3840,Brake Whole Spinach Ptn (350038)   2.5kg,Other food,37,6.18,3.6,4,-41.75,DOWN,412.77,£6.18 (2024-08-06) → £3.18 (2024-09-28) → £3.37 (2025-04-12) → £3.33 (2025-10-11) → £3.60 (2026-04-11)
4764,Brake Broad Beans                  2.5kg,Other food,29,11.44,11.22,3,-1.92,DOWN,412.17,£11.44 (2024-08-22) → £11.51 (2024-11-28) → £11.66 (2025-04-10) → £11.22 (2025-11-04)
71256,Brake Mild Cheddar Chese Slice    1x500g,Other food,27,8.29,3.65,6,-55.97,DOWN,411.41,£8.29 (2024-07-20) → £3.92 (2024-10-01) → £4.15 (2024-10-31) → £4.06 (2025-05-20) → £3.99 (2025-08-21) → £4.06 (2025-11-04) → £3.65 (2026-01-29)
100243,Brakes The Juice Orange         12x1ltr,Drinks,19,14.99,16.79,6,12.01,UP,410.27,£14.99 (2024-08-13) → £15.89 (2024-10-12) → £16.69 (2024-12-12) → £19.69 (2025-02-18) → £19.99 (2025-04-29) → £18.29 (2026-01-08) → £16.79 (2026-01-31)
135232,Bridor Vegan RTB Orange HNut Crown  1x48,Other food,13,26.49,40.89,3,54.36,UP,410.11,£26.49 (2024-07-20) → £27.86 (2024-10-01) → £40.38 (2025-03-13) → £40.89 (2025-06-03)
135419,Sheese Mature Cheddar Slice Vegan    1kg,Other food,27,11.8,12.16,3,3.05,UP,405.9,£11.80 (2024-07-20) → £11.94 (2025-04-12) → £12.02 (2025-10-23) → £12.16 (2026-07-11)
