Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2026-05-21,9335400365,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.6,0.00%,21.2,Yoghurt & milk,Dairy milk,EC27923838,Invoice CSV,
2026-05-23,9335402183,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,3,,10.6,0.00%,31.8,Yoghurt & milk,Dairy milk,EC28076920,Invoice CSV,
2026-05-23,9335402183,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,2,,16.1,0.00%,32.2,Yoghurt & milk,Dairy yoghurt,EC28076920,Invoice CSV,
2026-05-30,9335405724,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.6,0.00%,21.2,Yoghurt & milk,Dairy milk,EC28242718,Invoice CSV,
2026-05-30,9335405724,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,1,,16.1,0.00%,16.1,Yoghurt & milk,Dairy yoghurt,EC28242718,Invoice CSV,
2026-06-02,9335406855,INVOICE,74455,Org Whole Milk (Blue)               1x2L,18,,2.58,0.00%,46.44,Yoghurt & milk,Dairy milk,EC28284919,Invoice CSV,
2026-06-04,9335408810,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,2,,12.59,0.00%,25.18,Yoghurt & milk,Dairy yoghurt,EC28332128,Invoice CSV,
2026-06-04,9335408810,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,3,,16.1,0.00%,48.3,Yoghurt & milk,Dairy yoghurt,EC28332128,Invoice CSV,
2026-06-06,9335410688,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.6,0.00%,21.2,Yoghurt & milk,Dairy milk,EC28382272,Invoice CSV,
2026-06-06,9335410688,INVOICE,31526,Ubley Fruit N Crm Yogurt Mixd    12x150g,2,,6.49,0.00%,12.98,Yoghurt & milk,Dairy yoghurt,EC28382272,Invoice CSV,
2026-06-09,9335411861,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,2,,16.1,0.00%,32.2,Yoghurt & milk,Dairy yoghurt,EC28425515,Invoice CSV,
2026-06-12,9335414440,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,4,,10.6,0.00%,42.4,Yoghurt & milk,Dairy milk,EC28467565,Invoice CSV,
2026-06-12,9335414440,INVOICE,31526,Ubley Fruit N Crm Yogurt Mixd    12x150g,1,,6.49,0.00%,6.49,Yoghurt & milk,Dairy yoghurt,EC28467565,Invoice CSV,
2026-06-13,9335415301,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,3,,10.6,0.00%,31.8,Yoghurt & milk,Dairy milk,EC28548694,Invoice CSV,
2026-06-13,9335415301,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,1,,12.59,0.00%,12.59,Yoghurt & milk,Dairy yoghurt,EC28548694,Invoice CSV,
2026-06-13,9335415301,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,2,,16.1,0.00%,32.2,Yoghurt & milk,Dairy yoghurt,EC28548694,Invoice CSV,
2026-06-16,9335416453,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,2,,12.59,0.00%,25.18,Yoghurt & milk,Dairy yoghurt,EC28585892,Invoice CSV,
2026-06-20,9335420793,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,3,,10.6,0.00%,31.8,Yoghurt & milk,Dairy milk,EC28629190,Invoice CSV,
2026-06-20,9335420793,INVOICE,31526,Ubley Fruit N Crm Yogurt Mixd    12x150g,2,,6.49,0.00%,12.98,Yoghurt & milk,Dairy yoghurt,EC28629190,Invoice CSV,
2026-06-23,9335421925,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,1,,10.6,0.00%,10.6,Yoghurt & milk,Dairy milk,EC28788394,Invoice CSV,
2026-06-24,5509218710,CREDIT,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,1,,10.6,0.00%,-10.6,Yoghurt & milk,Dairy milk,,Credit PDF,9335421925
2026-07-07,9335432074,INVOICE,70325,Wholesome/F Whole Milk (Blue) RT 6x2.27L,1,,10.6,0.00%,10.6,Yoghurt & milk,Dairy milk,EC28983626,Invoice CSV,
2026-07-11,9335435845,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,2,,12.74,0.00%,25.48,Yoghurt & milk,Dairy yoghurt,EC29078285,Invoice CSV,
2026-07-11,9335435845,INVOICE,70325,Wholesome/F Whole Milk (Blue) RT 6x2.27L,4,,10.6,0.00%,42.4,Yoghurt & milk,Dairy milk,EC29078285,Invoice CSV,
,,,,,,,,,,,,,,
,,,,,,,,NET TOTAL,7262.29,,,,,
